school_id,College or Institution Type,Campus,Campus Website,Phone Number,Street,City,State,Zip,Latitude,Longitude,Location
1,Senior Colleges,Baruch College,http://baruch.cuny.edu,(646) 312-1000,55 Lexington Ave at 24th Street,New York,NY,10010-2313,40.740977,-73.984252,"(40.740977, -73.984252)"
2,Community Colleges,Borough of Manhattan Community College,http://bmcc.cuny.edu,(212) 220-1265,199 Chambers Street,New York,NY,10007-1044,40.717367,-74.012178,"(40.717367, -74.012178)"
3,Community Colleges,Bronx Community College,http://bcc.cuny.edu,(718) 289-5100,2155 University Avenue,Bronx,NY,10453,40.856673,-73.910127,"(40.856673, -73.910127)"
4,Senior Colleges,Brooklyn College,http://brooklyn.edu,(718) 951-5001,2900 Bedford Avenue,Brooklyn,NY,11210-2850,40.630276,-73.955545,"(40.630276, -73.955545)"
5,Comprehensive Colleges,College of Staten Island,http://csi.cuny.edu,(718) 982-2010,2800 Victory Boulevard,Staten Island,NY,10314-6609,40.608648,-74.153563,"(40.608648, -74.153563)"
6,Community Colleges,Guttman Community College,http://ncc.cuny.edu,(646) 313-8010,50 West 40th Street,New York,NY,10018-2602,40.752846,-73.984133,"(40.752846, -73.984133)"
7,Community Colleges,Hostos Community College,http://hostos.cuny.edu,(718) 518-4444,500 Grand Concourse,Bronx,NY,10451-5323,40.817828,-73.926862,"(40.817828, -73.926862)"
8,Senior Colleges,Hunter College,http://hunter.cuny.edu,(212) 772-4490,695 Park Avenue,New York,NY,10065-5024,40.768731,-73.964915,"(40.768731, -73.964915)"
9,Senior Colleges,John Jay College of Criminal Justice,http://jjay.cuny.edu,(212) 237-8866,524 West 59th Street,New York,NY,10019-1104,40.769939,-73.986469,"(40.769939, -73.986469)"
10,Community Colleges,Kingsborough Community College,http://kbcc.cuny.edu,(718) 368-4600,2001 Oriental Boulevard,Brooklyn,NY,11235-2333,40.578349,-73.934465,"(40.578349, -73.934465)"
11,Community Colleges,LaGuardia Community College,http://lagcc.cuny.edu,(718) 482-5000,31-10 Thomson Avenue,Long Island City,NY,11101-3007,40.743951,-73.935154,"(40.743951, -73.935154)"
12,Senior Colleges,Lehman College,http://lehman.cuny.edu,(718) 960-8000,250 Bedford Park Boulevard West,Bronx,NY,10468-1527,40.873442,-73.889361,"(40.873442, -73.889361)"
13,Comprehensive Colleges,Medgar Evers College,http://mec.cuny.edu,(718) 270-6024,1650 Bedford Avenue,Brooklyn,NY,11225-2010,40.66624,-73.957349,"(40.66624, -73.957349)"
14,Comprehensive Colleges,New York City College of Technology,http://citytech.cuny.edu,(718) 260-5000,300 Jay Street,Brooklyn,NY,11201-1909,40.695507,-73.987882,"(40.695507, -73.987882)"
15,Community Colleges,Queensborough Community College,http://qcc.cuny.edu,(718) 631-6262,222-05 56th Avenue,Bayside,NY,11364-1497,40.744988,-73.816444,"(40.744988, -73.816444)"
16,Senior Colleges,Queens College,http://qc.cuny.edu,(718) 997-5000,65-30 Kissena Blvd,Flushing,NY,11367-1597,40.736316,-73.820035,"(40.736316, -73.820035)"
17,Senior Colleges,The City College of New York,http://ccny.cuny.edu,(212) 650-6448,160 Convent Avenue,New York,NY,10031-9101,40.819548,-73.949518,"(40.819548, -73.949518)"
18,Senior Colleges,York College,http://york.cuny.edu,(718) 262-2165,94-20 Guy R. Brewer Boulevard,Jamaica,NY,11451-0001,40.702821,-73.795776,"(40.702821, -73.795776)"